,CC-period-start,CC-period-stop
0,110.396,136.024
1,142.096,179.464
2,182.888,199.21200000000002
3,201.92800000000003,216.524
4,218.67600000000002,233.548
5,242.104,257.024
6,259.62800000000004,274.788
7,277.324,365.468
8,366.55600000000004,393.216
9,396.536,425.68800000000005
10,428.58000000000004,445.288
11,448.408,483.016
12,485.908,506.06800000000004
13,509.24800000000005,526.356
14,529.364,547.236
15,550.552,569.868
16,573.052,585.284
17,605.856,617.6800000000001
18,627.7,648.2080000000001
19,651.416,658.14
20,675.552,697.716
21,701.5440000000001,767.3720000000001
22,774.1560000000001,812.124
